respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,Выберите язык,Возраст (количество полных лет),Пол,На каком предприятии Вы работаете?,,"Укажите компанию, в которой Вы работаете:",,К какой категории сотрудников Вы относитесь?,"Я испытываю напряжение, мне не по себе","Мне страшно. Кажется, будто что-то ужасное может вот-вот случиться",Беспокойные мысли крутятся у меня в голове,Я легко могу сесть и расслабиться,Я испытываю внутреннее напряжение или дрожь,"Я испытываю неусидчивость, словно мне постоянно нужно двигаться",У меня бывает внезапное чувство паники,"То, что приносило мне большое удовольствие, и сейчас вызывает у меня такое же чувство",Я способен рассмеяться и увидеть в том или ином событии смешное,Я чувствую себя бодрым,"Мне кажется, что я стал все делать очень медленно",Я не слежу за своей внешностью,"Я считаю, что мои дела (занятия, увлечения) могут принести мне чувство удовлетворения","Я могу получить удовольствие от хорошей книги, фильма, радио- или телепрограммы",Нуждаетесь ли Вы в психологической помощи?,"По вашему мнению, нуждаются ли ваши близкие в психологической помощи?","Знакомы ли вы с программой ERG Balance, программой психологической поддержки работников Группы?     ",Что бы вы хотели видеть в программе психологической поддержки работников Группы?,Жасы (толық жас саны),Сіздің жынысыңыз,На каком предприятии Вы работаете?,,Қандай компанияда жұмыс істейтініңізді көрсетіңіз,,Сіз қызметкерлердің қай санатына жатасыз?,"Мен қобалжушылықты сезінем, өзімді жайсыз сезінемін",Маған қорқынышты. Қорқынышты нәрсе болуы мүмкін сияқты,Басыма мазасыз ойлар келеді,"Мен отырып, бойымды еркін ұстай аламын",Мен ішкі қобалжуды немесе қорқынышты сезінемін,"Мен орнықсыздықты сезінемін, үнемі қозғалыста болуым керек сияқты",Менде кенеттен үрей пайда болады,"Бұрын маған үлкен рахат сыйлаған нәрсе, қазір де сондай сезімді сыйлайды",Мен күле аламын және сол немесе басқа оқиғада күлкілі нәрсені көре аламын,Мен өзімді сергек сезінемін,"Менің ойымша, мен бәрін өте баяу істей бастадым",Мен сыртқы келбетімді қадағаламаймын,"Менің істерім (іс-әрекеттерім, әуесқойлығым) маған қанағат сезімін сыйлайды деп санаймын","Мен жақсы кітап, фильм, радио немесе теледидар бағдарламасынан ләззат ала аламын",Сізге психологиялық көмек қажет пе?,Сіздің ойыңызша жақындарыңыз психологиялық көмекке мұқтаж ба?,Сіз ERG қызметкерлеріне психологиялық қолдау көрсету ERG Balance бағдарламасымен таныссыз ба?,ERG қызметкерлеріне психологиялық қолдау көрсету бағдарламасында не көргіңіз келеді?
118694238060,457631337,09/18/2024 11:24:50 AM,09/18/2024 11:30:29 AM,89.43.23.90,,,,,Русский,51,Мужчина,Алюминий Казахстана (ПАЗ),,,,Специалист,все время,"определенно это так, и страх очень сильный",постоянно,лишь изредка это так,очень часто,"определенно, это так",не так уж часто,лишь в очень малой степени это так,лишь в очень малой степени это так,совсем не чувствую,совсем нет,"может быть, я стал меньше уделять этому внимания","да, но не в той степени, как раньше",иногда,Нет,Нет,Да,Всё устраивает ,,,,,,,,,,,,,,,,,,,,,,,,,
118694234875,457631337,09/18/2024 11:17:20 AM,09/18/2024 11:26:49 AM,89.35.253.219,,,,,Русский,29,Мужчина,Казхром (Актюбинский завод ферросплавов),,,,Рабочий,"время от времени, иногда","иногда, но это меня не беспокоит",только иногда,"определенно, это так",иногда,совсем не испытываю,совсем не бывает,это совсем не так,совсем не способен,иногда,иногда,"я слежу за собой так же, как и раньше","да, но не в той степени, как раньше",иногда,Нет,Нет,Да,Чтобы часто провдили симинары и треннинги,,,,,,,,,,,,,,,,,,,,,,,,,
118694236507,457631337,09/18/2024 11:21:10 AM,09/18/2024 11:21:57 AM,89.43.23.60,,,,,Русский,19,Мужчина,ЕЭК (Электрическая станция),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118694233908,457631337,09/18/2024 11:15:02 AM,09/18/2024 11:16:50 AM,62.122.109.181,,,,,Русский,30,Мужчина,Алюминий Казахстана (ПАЗ),,,,Специалист,"время от времени, иногда","да, это так, но страх не очень сильный",постоянно,лишь изредка это так,иногда,"определенно, это так",совсем не бывает,лишь в очень малой степени это так,"определенно, это так",иногда,часто,определенно это так,"значительно меньше, чем раньше",редко,Нет,Нет,Нет,Незнаю ,,,,,,,,,,,,,,,,,,,,,,,,,
118694225979,457631337,09/18/2024 10:55:37 AM,09/18/2024 11:07:05 AM,95.57.233.251,,,,,Русский,53,Мужчина,Алюминий Казахстана (ПАЗ),,,,Специалист,совсем не испытываю,совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,"наверное, это так",совсем не бывает,"определенно, это так","наверное, это так",практически все время,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Нет,Незнаю ,,,,,,,,,,,,,,,,,,,,,,,,,
118694226297,457631337,09/18/2024 10:56:50 AM,09/18/2024 11:02:15 AM,89.42.61.18,,,,,Русский,37,Мужчина,Алюминий Казахстана (ПАЗ),,,,Специалист,совсем не испытываю,совсем не испытываю,время от времени,лишь изредка это так,совсем не испытываю,совсем не испытываю,совсем не бывает,лишь в очень малой степени это так,лишь в очень малой степени это так,практически все время,совсем нет,"я слежу за собой так же, как и раньше","значительно меньше, чем раньше",очень редко,Нет,Нет,Да,То что нужно ,,,,,,,,,,,,,,,,,,,,,,,,,
118694223753,457631337,09/18/2024 10:49:51 AM,09/18/2024 11:00:15 AM,85.193.112.57,,,,,Русский,57,Женщина,3-Энергоорталык (ШТЭЦ),,,,Рабочий,совсем не испытываю,"иногда, но это меня не беспокоит",время от времени,"наверное, это так",иногда,"наверное, это так",совсем не бывает,это совсем не так,совсем не способен,практически все время,совсем нет,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Нет,Успехов,,,,,,,,,,,,,,,,,,,,,,,,,
118694224548,457631337,09/18/2024 10:52:01 AM,09/18/2024 10:57:15 AM,89.35.254.55,,,,,Русский,39,Женщина,Казхром (Актюбинский завод ферросплавов),,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,лишь в очень малой степени это так,совсем не бывает,"определенно, это так","наверное, это так",иногда,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,
118694223645,457631337,09/18/2024 10:49:43 AM,09/18/2024 10:54:12 AM,212.154.179.150,,,,,Русский,45,Женщина,Казхром (Донской ГОК),,,,Специалист,"время от времени, иногда","иногда, но это меня не беспокоит",время от времени,"наверное, это так",иногда,лишь в очень малой степени это так,не так уж часто,"наверное, это так","определенно, это так",очень редко,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118694224951,457631337,09/18/2024 10:53:11 AM,09/18/2024 10:53:21 AM,62.122.109.181,,,,,Русский,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118694223210,457631337,09/18/2024 10:48:27 AM,09/18/2024 10:52:43 AM,89.43.164.3,,,,,Русский,48,Мужчина,Алюминий Казахстана (ПАЗ),,,,Руководитель,совсем не испытываю,"иногда, но это меня не беспокоит",только иногда,"наверное, это так",иногда,совсем не испытываю,не так уж часто,это совсем не так,лишь в очень малой степени это так,практически все время,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",иногда,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118694224567,457631337,09/18/2024 10:52:09 AM,09/18/2024 10:52:34 AM,89.43.164.171,,,,,Русский,35,Женщина,Алюминий Казахстана (АУ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118694222962,457631337,09/18/2024 10:47:54 AM,09/18/2024 10:51:59 AM,178.170.236.72,,,,,Русский,33,Мужчина,КЭЗ,,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,"наверное, это так",иногда,лишь в очень малой степени это так,совсем не бывает,"наверное, это так","определенно, это так",иногда,иногда,"я слежу за собой так же, как и раньше","да, но не в той степени, как раньше",часто,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118694223639,457631337,09/18/2024 10:49:45 AM,09/18/2024 10:49:57 AM,89.43.164.171,,,,,Русский,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118694215544,457631337,09/18/2024 10:28:05 AM,09/18/2024 10:32:23 AM,178.170.236.25,,,,,Русский,25,Женщина,Алюминий Казахстана (ПАЗ),,,,Специалист,совсем не испытываю,совсем не испытываю,только иногда,"определенно, это так",иногда,лишь в очень малой степени это так,совсем не бывает,это совсем не так,"определенно, это так",иногда,совсем нет,"я слежу за собой так же, как и раньше","да, но не в той степени, как раньше",иногда,Нет,Нет,Да,Больше времени уделять ,,,,,,,,,,,,,,,,,,,,,,,,,
118694214626,457631337,09/18/2024 10:26:00 AM,09/18/2024 10:29:23 AM,109.201.57.246,,,,,Русский,35,Женщина,ССГПО,,,,Рабочий,"время от времени, иногда","иногда, но это меня не беспокоит",только иногда,"определенно, это так",иногда,совсем не испытываю,совсем не бывает,"наверное, это так","определенно, это так",иногда,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,
118694213714,457631337,09/18/2024 10:23:44 AM,09/18/2024 10:27:34 AM,185.234.62.189,,,,,Русский,26,Мужчина,Алюминий Казахстана (КБРУ),,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,"наверное, это так",совсем не испытываю,совсем не испытываю,совсем не бывает,"определенно, это так","наверное, это так",иногда,совсем нет,"я слежу за собой так же, как и раньше","значительно меньше, чем раньше",часто,Нет,Нет,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,
118694212693,457631337,09/18/2024 10:21:10 AM,09/18/2024 10:25:36 AM,164.0.213.99,,,,,Русский,60,Женщина,Алюминий Казахстана (ПАЗ),,,,Служащий,совсем не испытываю,совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,совсем не испытываю,совсем не бывает,"определенно, это так","определенно, это так",практически все время,совсем нет,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Нет,Работу,,,,,,,,,,,,,,,,,,,,,,,,,
118694212578,457631337,09/18/2024 10:20:47 AM,09/18/2024 10:25:16 AM,164.0.71.112,,,,,Русский,43,Женщина,Алюминий Казахстана (ПАЗ),,,,Служащий,совсем не испытываю,совсем не испытываю,только иногда,лишь изредка это так,очень часто,лишь в очень малой степени это так,совсем не бывает,это совсем не так,лишь в очень малой степени это так,иногда,иногда,"я слежу за собой так же, как и раньше",совсем так не считаю,иногда,Нет,Нет,Да,Не знаю ,,,,,,,,,,,,,,,,,,,,,,,,,
118692878272,457631337,09/16/2024 11:02:34 PM,09/18/2024 10:19:48 AM,89.35.253.113,,,,,Казахский,,,,,,,,,,,,,,,,,,,,,,,,,,44,Еркек,Казхром (Актюбинский завод ферросплавов),,,,Жұмысшы,мүлдем сезбеймін,мүлдем сезінбеймін,кейде  ғана,дәл осылай,мүлдем сезінбеймін,мүлдем сезінбеймін,мүлдем болмайды,дәл солай,дәл осылай,үнемі,кейде,мен өзімді бұрынғыдай қадағалаймын,әдеттегідей дәл солай,жиі,Жоқ,Жоқ,Ия,
118694208881,457631337,09/18/2024 10:10:30 AM,09/18/2024 10:19:23 AM,95.82.114.110,,,,,Русский,26,Мужчина,Алюминий Казахстана (КБРУ),,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,лишь изредка это так,совсем не испытываю,совсем не испытываю,совсем не бывает,"наверное, это так",совсем не способен,иногда,совсем нет,"я слежу за собой так же, как и раньше","точно так, как и обычно",иногда,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118694206622,457631337,09/18/2024 10:06:04 AM,09/18/2024 10:12:40 AM,185.234.63.15,,,,,Русский,42,Мужчина,Алюминий Казахстана (КБРУ),,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,совсем не испытываю,совсем не бывает,"определенно, это так","определенно, это так",практически все время,совсем нет,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,
118694207927,457631337,09/18/2024 10:09:07 AM,09/18/2024 10:09:49 AM,95.82.113.25,,,,,Русский,26,Мужчина,Алюминий Казахстана (КБРУ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118694207941,457631337,09/18/2024 10:09:13 AM,09/18/2024 10:09:43 AM,2.75.65.216,,,,,Русский,39,Мужчина,ССГПО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118694201423,457631337,09/18/2024 09:52:38 AM,09/18/2024 09:57:33 AM,2.76.248.114,,,,,Русский,34,Мужчина,Алюминий Казахстана (КБРУ),,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,лишь в очень малой степени это так,совсем не бывает,лишь в очень малой степени это так,"наверное, это так",практически все время,иногда,"может быть, я стал меньше уделять этому внимания","да, но не в той степени, как раньше",часто,Да,Нет,Нет,Профессиональную психологическую помощь ,,,,,,,,,,,,,,,,,,,,,,,,,
118694169066,457631337,09/18/2024 08:33:20 AM,09/18/2024 09:57:04 AM,62.122.6.227,,,,,Русский,33,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,"время от времени, иногда",совсем не испытываю,только иногда,"наверное, это так",иногда,лишь в очень малой степени это так,совсем не бывает,"наверное, это так","определенно, это так",практически все время,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",иногда,Да,Да,Нет,Компетентного сотрудника ,,,,,,,,,,,,,,,,,,,,,,,,,
118694199364,457631337,09/18/2024 09:47:45 AM,09/18/2024 09:50:56 AM,178.170.236.25,,,,,Русский,28,Мужчина,Алюминий Казахстана (АУ),,,,Руководитель,"время от времени, иногда",совсем не испытываю,только иногда,"определенно, это так",иногда,совсем не испытываю,совсем не бывает,"определенно, это так","определенно, это так",практически все время,иногда,"может быть, я стал меньше уделять этому внимания","точно так, как и обычно",часто,Да,Нет,Да,"семейные ценности, фин грамотность, управление эмоциями, профилактика лудомании",,,,,,,,,,,,,,,,,,,,,,,,,
118694198365,457631337,09/18/2024 09:44:50 AM,09/18/2024 09:48:09 AM,95.56.50.188,,,,,Казахский,,,,,,,,,,,,,,,,,,,,,,,,,,19,Еркек,Казхром (Аксуский завод ферросплавов),,,,Жұмысшы,мүлдем сезбеймін,"кейбір кезде, бірақ бұл мені мазаламайды",кейде  ғана,дәл осылай,мүлдем сезінбеймін,мүлдем сезінбеймін,мүлдем болмайды,өте аз дәрежеде ғана осылай,шамалы дәрежеде ғана осылай,өте сирек,мүлдем олай емес,мен бұған қажетті уақытты жұмсамаймын,әдеттегідей дәл солай,өте сирек,Жоқ,Жоқ,Ия,Нақты айта алмаймын әзір керек емес деп ойлаймын 
118694195535,457631337,09/18/2024 09:37:05 AM,09/18/2024 09:41:19 AM,185.234.62.162,,,,,Русский,56,Мужчина,ССГПО,,,,Служащий,часто,"иногда, но это меня не беспокоит",время от времени,совсем не могу,совсем не испытываю,совсем не испытываю,совсем не бывает,"наверное, это так","определенно, это так",очень редко,иногда,"я не уделяю этому столько времени, сколько нужно","точно так, как и обычно",иногда,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118694194598,457631337,09/18/2024 09:35:16 AM,09/18/2024 09:39:28 AM,185.223.191.90,,,,,Казахский,,,,,,,,,,,,,,,,,,,,,,,,,,57,Әйел,Казхром (Актюбинский завод ферросплавов),,,,Жұмысшы,мүлдем сезбеймін,мүлдем сезінбеймін,кейде  ғана,арасында ғана,мүлдем сезінбеймін,мүлдем сезінбеймін,мүлдем болмайды,дәл солай,шамалы дәрежеде ғана осылай,үнемі,кейде,мен өзімді бұрынғыдай қадағалаймын,әдеттегідей дәл солай,сирек,Жоқ,Жоқ,Ия,Сабырлык
118694166888,457631337,09/18/2024 08:27:56 AM,09/18/2024 09:33:44 AM,62.122.105.155,,,,,Русский,47,Мужчина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,"время от времени, иногда",совсем не испытываю,время от времени,"определенно, это так",иногда,совсем не испытываю,совсем не бывает,"определенно, это так",совсем не способен,очень редко,иногда,"может быть, я стал меньше уделять этому внимания","значительно меньше, чем раньше",иногда,Нет,Нет,Да,,,,,,,,,,,,,,,,,,,,,,,,,,
118694161151,457631337,09/18/2024 08:12:43 AM,09/18/2024 09:23:12 AM,164.0.168.132,,,,,Русский,49,Мужчина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,совсем не испытываю,совсем не бывает,"определенно, это так","определенно, это так",практически все время,совсем нет,"я слежу за собой так же, как и раньше","точно так, как и обычно",часто,Нет,Нет,Нет,,,,,,,,,,,,,,,,,,,,,,,,,,
118694161120,457631337,09/18/2024 08:12:12 AM,09/18/2024 09:22:52 AM,2.78.253.122,,,,,Русский,50,Женщина,Казхром (Актюбинский завод ферросплавов),,,,Рабочий,"время от времени, иногда","иногда, но это меня не беспокоит",только иногда,"определенно, это так",совсем не испытываю,лишь в очень малой степени это так,совсем не бывает,"определенно, это так","определенно, это так",практически все время,иногда,"я слежу за собой так же, как и раньше","точно так, как и обычно",иногда,Нет,Нет,Нет,Без ответа ,,,,,,,,,,,,,,,,,,,,,,,,,
118694184134,457631337,09/18/2024 09:08:35 AM,09/18/2024 09:21:11 AM,89.35.253.201,,,,,Русский,54,Женщина,Казхром (Актюбинский завод ферросплавов),,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,"наверное, это так",часто,совсем не испытываю,совсем не бывает,"определенно, это так","наверное, это так",практически все время,иногда,"может быть, я стал меньше уделять этому внимания","точно так, как и обычно",часто,Нет,Нет,Да,Высокую заработную плату,,,,,,,,,,,,,,,,,,,,,,,,,
118694180544,457631337,09/18/2024 09:00:31 AM,09/18/2024 09:20:31 AM,46.42.239.200,,,,,Русский,45,Мужчина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,совсем не испытываю,совсем не испытываю,только иногда,"определенно, это так",совсем не испытываю,совсем не испытываю,совсем не бывает,"определенно, это так","определенно, это так",практически все время,иногда,"я слежу за собой так же, как и раньше",совсем так не считаю,иногда,Нет,Нет,Да,Нет,,,,,,,,,,,,,,,,,,,,,,,,,
118694185992,457631337,09/18/2024 09:13:24 AM,09/18/2024 09:17:32 AM,62.122.6.219,,,,,Русский,36,Женщина,Казхром (Аксуский завод ферросплавов),,,,Рабочий,все время,"определенно это так, и страх очень сильный",постоянно,совсем не могу,очень часто,"определенно, это так","действительно, очень часто",это совсем не так,"определенно, это так",совсем не чувствую,практически все время,определенно это так,"точно так, как и обычно",очень редко,Да,Нет,Нет,Рисовать,,,,,,,,,,,,,,,,,,,,,,,,,
118694183506,457631337,09/18/2024 09:07:29 AM,09/18/2024 09:14:29 AM,62.122.109.216,,,,,Казахский,,,,,,,,,,,,,,,,,,,,,,,,,,29,Еркек,Казхром (Аксуский завод ферросплавов),,,,Жұмысшы,мүлдем сезбеймін,мүлдем сезінбеймін,кейде  ғана,дәл осылай,мүлдем сезінбеймін,мүлдем сезінбеймін,мүлдем болмайды,бұл мүлдем олай емес,дәл осылай,үнемі,мүлдем олай емес,дәл осылай,мүлдем олай санамаймын,өте сирек,Жоқ,Жоқ,Ия,Ештеңе
118694184021,457631337,09/18/2024 09:05:40 AM,09/18/2024 09:12:58 AM,5.34.58.216,,,,,Русский,40,Мужчина,Казхром (Актюбинский завод ферросплавов),,,,Руководитель,"время от времени, иногда",совсем не испытываю,время от времени,лишь изредка это так,иногда,"наверное, это так",не так уж часто,"определенно, это так","наверное, это так",иногда,иногда,"может быть, я стал меньше уделять этому внимания","точно так, как и обычно",иногда,Нет,Нет,Да,Семинары в офлайн формате,,,,,,,,,,,,,,,,,,,,,,,,,
